infection_location_type,infection_location_id,seedset_0,seedset_1,seedset_2,seedset_3,seedset_4,mean,std,cv
facility,13,24.0,29.0,0.0,36.0,0.0,17.8,15.025311976794358,0.8441186503817054
facility,2,20.0,36.0,0.0,23.0,0.0,15.8,13.977124167724918,0.884628111881324
facility,14,27.0,25.0,0.0,15.0,0.0,13.4,11.672189169131899,0.8710588932187984
facility,10,14.0,14.0,0.0,21.0,0.0,9.8,8.399999999999999,0.857142857142857
facility,12,14.0,6.0,0.0,10.0,0.0,6.0,5.513619500836088,0.9189365834726814
facility,21,15.0,2.0,0.0,12.0,0.0,5.8,6.3999999999999995,1.103448275862069
facility,4,8.0,10.0,0.0,6.0,0.0,4.8,4.1182520563948,0.8579691784155834
facility,16,11.0,9.0,0.0,3.0,0.0,4.6,4.586937976471886,0.9971604296678015
facility,20,2.0,9.0,0.0,11.0,0.0,4.4,4.673328578219169,1.0621201314134474
facility,11,5.0,2.0,0.0,7.0,0.0,2.8,2.7856776554368237,0.9948848769417228
facility,30,5.0,6.0,0.0,3.0,0.0,2.8,2.481934729198171,0.8864052604279183
facility,25,7.0,3.0,0.0,3.0,0.0,2.6,2.5768197453450252,0.9910845174403943
facility,22,3.0,0.0,0.0,8.0,0.0,2.2,3.124099870362662,1.4200453956193917
facility,36,1.0,6.0,0.0,2.0,0.0,1.8,2.2271057451320084,1.2372809695177824
facility,18,2.0,1.0,0.0,6.0,0.0,1.8,2.227105745132009,1.2372809695177827
facility,3,4.0,2.0,0.0,1.0,0.0,1.4,1.4966629547095764,1.0690449676496976
facility,28,3.0,2.0,0.0,2.0,0.0,1.4,1.2,0.8571428571428572
household,93,2.0,2.0,0.0,2.0,0.0,1.2,0.9797958971132712,0.816496580927726
household,673,0.0,0.0,0.0,6.0,0.0,1.2,2.4,2.0
household,163,0.0,6.0,0.0,0.0,0.0,1.2,2.4,2.0
household,155,0.0,6.0,0.0,0.0,0.0,1.2,2.4,2.0
household,435,0.0,5.0,0.0,0.0,0.0,1.0,2.0,2.0
household,38,5.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0
household,679,0.0,0.0,0.0,5.0,0.0,1.0,2.0,2.0
household,10,0.0,0.0,0.0,4.0,0.0,0.8,1.6,2.0
household,841,0.0,4.0,0.0,0.0,0.0,0.8,1.6,2.0
household,1080,0.0,4.0,0.0,0.0,0.0,0.8,1.6,2.0
household,301,0.0,0.0,0.0,4.0,0.0,0.8,1.6,2.0
facility,31,2.0,2.0,0.0,0.0,0.0,0.8,0.9797958971132712,1.224744871391589
household,1150,0.0,4.0,0.0,0.0,0.0,0.8,1.6,2.0
facility,35,0.0,2.0,0.0,1.0,0.0,0.6,0.7999999999999999,1.3333333333333333
household,89,1.0,1.0,0.0,1.0,0.0,0.6,0.4898979485566356,0.816496580927726
household,429,0.0,0.0,0.0,3.0,0.0,0.6,1.2,2.0
household,1104,0.0,0.0,3.0,0.0,0.0,0.6,1.2,2.0
household,1523,0.0,0.0,0.0,3.0,0.0,0.6,1.2,2.0
household,1278,3.0,0.0,0.0,0.0,0.0,0.6,1.2000000000000002,2.0000000000000004
household,91,1.0,1.0,0.0,1.0,0.0,0.6,0.4898979485566356,0.816496580927726
household,90,2.0,1.0,0.0,0.0,0.0,0.6,0.7999999999999999,1.3333333333333333
household,49,1.0,2.0,0.0,0.0,0.0,0.6,0.7999999999999999,1.3333333333333333
household,88,1.0,1.0,0.0,1.0,0.0,0.6,0.4898979485566356,0.816496580927726
household,1295,0.0,0.0,3.0,0.0,0.0,0.6,1.2,2.0
household,40,0.0,3.0,0.0,0.0,0.0,0.6,1.2,2.0
household,87,1.0,1.0,0.0,1.0,0.0,0.6,0.4898979485566356,0.816496580927726
household,84,1.0,1.0,0.0,1.0,0.0,0.6,0.4898979485566356,0.816496580927726
household,45,0.0,3.0,0.0,0.0,0.0,0.6,1.2,2.0
household,86,1.0,1.0,0.0,1.0,0.0,0.6,0.4898979485566356,0.816496580927726
household,1518,0.0,0.0,0.0,2.0,0.0,0.4,0.8,2.0
household,1626,0.0,0.0,2.0,0.0,0.0,0.4,0.8,2.0
household,713,0.0,0.0,0.0,0.0,2.0,0.4,0.8,2.0
household,748,0.0,0.0,0.0,0.0,2.0,0.4,0.8,2.0
household,837,0.0,0.0,2.0,0.0,0.0,0.4,0.8,2.0
household,1388,0.0,0.0,0.0,2.0,0.0,0.4,0.8,2.0
household,842,0.0,0.0,0.0,2.0,0.0,0.4,0.8,2.0
household,881,0.0,0.0,2.0,0.0,0.0,0.4,0.8,2.0
household,1421,0.0,0.0,2.0,0.0,0.0,0.4,0.8,2.0
household,1168,0.0,2.0,0.0,0.0,0.0,0.4,0.8,2.0
household,1079,0.0,0.0,2.0,0.0,0.0,0.4,0.8,2.0
household,1492,2.0,0.0,0.0,0.0,0.0,0.4,0.8000000000000002,2.0000000000000004
household,1357,2.0,0.0,0.0,0.0,0.0,0.4,0.8000000000000002,2.0000000000000004
household,1149,0.0,0.0,2.0,0.0,0.0,0.4,0.8,2.0
household,1395,0.0,0.0,2.0,0.0,0.0,0.4,0.8,2.0
household,1170,0.0,0.0,0.0,0.0,2.0,0.4,0.8,2.0
household,1494,2.0,0.0,0.0,0.0,0.0,0.4,0.8000000000000002,2.0000000000000004
household,179,2.0,0.0,0.0,0.0,0.0,0.4,0.8000000000000002,2.0000000000000004
household,162,0.0,0.0,0.0,0.0,2.0,0.4,0.8,2.0
household,392,0.0,0.0,2.0,0.0,0.0,0.4,0.8,2.0
facility,32,0.0,1.0,0.0,1.0,0.0,0.4,0.48989794855663565,1.2247448713915892
household,83,0.0,1.0,0.0,0.0,1.0,0.4,0.48989794855663565,1.2247448713915892
household,85,1.0,1.0,0.0,0.0,0.0,0.4,0.4898979485566356,1.224744871391589
household,92,0.0,1.0,0.0,1.0,0.0,0.4,0.48989794855663565,1.2247448713915892
household,168,0.0,0.0,0.0,0.0,2.0,0.4,0.8,2.0
household,178,0.0,0.0,0.0,0.0,2.0,0.4,0.8,2.0
household,307,0.0,0.0,0.0,2.0,0.0,0.4,0.8,2.0
household,277,2.0,0.0,0.0,0.0,0.0,0.4,0.8000000000000002,2.0000000000000004
household,438,0.0,0.0,2.0,0.0,0.0,0.4,0.8,2.0
household,442,2.0,0.0,0.0,0.0,0.0,0.4,0.8000000000000002,2.0000000000000004
household,458,0.0,2.0,0.0,0.0,0.0,0.4,0.8,2.0
household,491,2.0,0.0,0.0,0.0,0.0,0.4,0.8000000000000002,2.0000000000000004
household,520,0.0,0.0,0.0,0.0,2.0,0.4,0.8,2.0
household,537,2.0,0.0,0.0,0.0,0.0,0.4,0.8000000000000002,2.0000000000000004
household,1621,0.0,0.0,0.0,0.0,1.0,0.2,0.4,2.0
household,1476,1.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,2.0000000000000004
household,1616,0.0,0.0,0.0,1.0,0.0,0.2,0.4,2.0
facility,15,0.0,0.0,0.0,1.0,0.0,0.2,0.4,2.0
facility,17,0.0,1.0,0.0,0.0,0.0,0.2,0.4,2.0
facility,24,1.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,2.0000000000000004
facility,6,1.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,2.0000000000000004
facility,29,0.0,1.0,0.0,0.0,0.0,0.2,0.4,2.0
household,550,0.0,0.0,1.0,0.0,0.0,0.2,0.4,2.0
household,1448,0.0,0.0,0.0,0.0,1.0,0.2,0.4,2.0
facility,37,1.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,2.0000000000000004
household,26,0.0,0.0,0.0,1.0,0.0,0.2,0.4,2.0
household,549,0.0,0.0,0.0,1.0,0.0,0.2,0.4,2.0
household,215,1.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,2.0000000000000004
household,999,0.0,1.0,0.0,0.0,0.0,0.2,0.4,2.0
household,686,0.0,0.0,0.0,0.0,1.0,0.2,0.4,2.0
household,1704,0.0,0.0,0.0,0.0,1.0,0.2,0.4,2.0
